Size,Seq,2,4,8
14,.00006215000000000000,0,0,0
15,.00006470000000000000,0,0,0
16,.00007395000000000000,0,0,0
17,.00007960000000000000,0,0,0
18,.00008290000000000000,0,0,0
19,.00008740000000000000,0,0,0
